id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
aa74c6ab-eba8-42e5-ba66-65469c371aec,Itau Agents,Inferência com modelo command-r7b,,2025-04-18 00:57:54,259.6544044017792,0.025008141493207,0.0028276455504954,"Intel(R) Core(TM) i9-14900KF/1 device(s), TDP:125.0",NVIDIA GeForce RTX 4090 2 device(s),Linux,BR/Rio de Janeiro,0
a2acc890-c27b-4937-a7d2-030faa0d03e4,Itau Agents,Inferência com modelo command-r7b,,2025-04-18 11:33:10,254.19704055786133,0.0246678630960877,0.0027891706124115,"Intel(R) Core(TM) i9-14900KF/1 device(s), TDP:125.0",NVIDIA GeForce RTX 4090 2 device(s),Linux,BR/Rio de Janeiro,0
13dec119-297f-4fec-b83b-25118af96181,Itau Agents,Inferência com modelo command-r7b,N/A,2025-04-18 12:17:44,267.4717173576355,0.025970756995757315,0.002936487522753284,"Intel(R) Core(TM) i9-14900KF/1 device(s), TDP:125.0",NVIDIA GeForce RTX 4090 2 device(s),Linux,BR/Rio de Janeiro,0
